"g","director","programmer","artist","composer","writer","designer","genre","developer","release_date","score","platform"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Cris_Velasco","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,79,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Sascha_Dikiciyan","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,79,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Christopher_Drake","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,80,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Cris_Velasco","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,80,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Sascha_Dikiciyan","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,80,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Christopher_Drake","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,80,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Cris_Velasco","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,80,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Sascha_Dikiciyan","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,80,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Christopher_Drake","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,81,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Cris_Velasco","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,81,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Sascha_Dikiciyan","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,81,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Christopher_Drake","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,81,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Cris_Velasco","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,81,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Sascha_Dikiciyan","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,81,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Christopher_Drake","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,82,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Cris_Velasco","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,82,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Sascha_Dikiciyan","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,82,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Christopher_Drake","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,82,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Cris_Velasco","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,82,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Sascha_Dikiciyan","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,82,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Christopher_Drake","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,69,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Cris_Velasco","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,69,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Sascha_Dikiciyan","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,69,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Christopher_Drake","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,69,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Cris_Velasco","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,69,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Sascha_Dikiciyan","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,69,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Christopher_Drake","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,78,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Cris_Velasco","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,78,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Sascha_Dikiciyan","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,78,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Christopher_Drake","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,78,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Cris_Velasco","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,78,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Sascha_Dikiciyan","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,78,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Christopher_Drake","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,79,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Cris_Velasco","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,79,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Sascha_Dikiciyan","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,79,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Christopher_Drake","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,79,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Cris_Velasco","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,79,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Sascha_Dikiciyan","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,79,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Christopher_Drake","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,80,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Cris_Velasco","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,80,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Sascha_Dikiciyan","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,80,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Christopher_Drake","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,80,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Cris_Velasco","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,80,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Sascha_Dikiciyan","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,80,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Christopher_Drake","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,81,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Cris_Velasco","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,81,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Sascha_Dikiciyan","http://dbpedia.org/resource/John_Vogel","John Edwards","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,81,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Christopher_Drake","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,81,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Injustice:_Gods_Among_Us","http://dbpedia.org/resource/Ed_Boon",,"Steve Beran","http://dbpedia.org/resource/Cris_Velasco","http://dbpedia.org/resource/John_Vogel","Paulo Garcia","http://dbpedia.org/resource/Fighting_game","http://dbpedia.org/resource/NetherRealm_Studios",2013-04-16,81,"http://dbpedia.org/resource/Category:Windows_games"
